threshold,seed,split,model,acc,macro_f1,n_clusters
0.4,9,cluster,ESM-2 650M frozen + 1-NN,0.6749041892427646,0.6229981334187176,12735
0.4,9,cluster,Alignment top-hit transfer (MMseqs2),0.696577243293247,0.6359517655149923,12735
0.3,0,cluster,ESM-2 650M frozen + 1-NN,0.7212214622868702,0.5970583315136067,9533
0.3,0,cluster,Alignment top-hit transfer (MMseqs2),0.6892399576148733,0.5402443288111701,9533
0.3,1,cluster,ESM-2 650M frozen + 1-NN,0.6158986495893081,0.5751408551091702,9533
0.3,1,cluster,Alignment top-hit transfer (MMseqs2),0.5933453988584158,0.5372060087850226,9533
0.3,2,cluster,ESM-2 650M frozen + 1-NN,0.6359182530795073,0.5786660352810155,9533
0.3,2,cluster,Alignment top-hit transfer (MMseqs2),0.6310190369540873,0.564406713725291,9533
0.3,3,cluster,ESM-2 650M frozen + 1-NN,0.6434782608695652,0.589316123867563,9533
0.3,3,cluster,Alignment top-hit transfer (MMseqs2),0.6443355786895285,0.5833894791942702,9533
0.3,4,cluster,ESM-2 650M frozen + 1-NN,0.685854475825754,0.5749754852055009,9533
0.3,4,cluster,Alignment top-hit transfer (MMseqs2),0.6747247486835807,0.5205442064804542,9533
0.3,5,cluster,ESM-2 650M frozen + 1-NN,0.6299479166666667,0.5805372370267321,9533
0.3,5,cluster,Alignment top-hit transfer (MMseqs2),0.6255208333333333,0.5287821010894737,9533
0.3,6,cluster,ESM-2 650M frozen + 1-NN,0.6181179775280898,0.5609248872179743,9533
0.3,6,cluster,Alignment top-hit transfer (MMseqs2),0.589747191011236,0.5030557372778368,9533
0.3,7,cluster,ESM-2 650M frozen + 1-NN,0.7209302325581395,0.6030861039716026,9533
0.3,7,cluster,Alignment top-hit transfer (MMseqs2),0.7204311807565625,0.5793115401632278,9533
0.3,8,cluster,ESM-2 650M frozen + 1-NN,0.6792756539235413,0.5805473805226808,9533
0.3,8,cluster,Alignment top-hit transfer (MMseqs2),0.6728370221327968,0.561246946856103,9533
0.3,9,cluster,ESM-2 650M frozen + 1-NN,0.6356154133931912,0.5745960833909733,9533
0.3,9,cluster,Alignment top-hit transfer (MMseqs2),0.6412270856715301,0.5794296517857467,9533
0.2,0,cluster,ESM-2 650M frozen + 1-NN,0.6020107238605898,0.5368661450489857,7755
0.2,0,cluster,Alignment top-hit transfer (MMseqs2),0.5423592493297588,0.4291761617830992,7755
0.2,1,cluster,ESM-2 650M frozen + 1-NN,0.6091776230987368,0.5738257382992169,7755
0.2,1,cluster,Alignment top-hit transfer (MMseqs2),0.52835782418149,0.4626744077154886,7755
0.2,2,cluster,ESM-2 650M frozen + 1-NN,0.67516218721038,0.5760212735874145,7755
0.2,2,cluster,Alignment top-hit transfer (MMseqs2),0.631371640407785,0.48327441992087233,7755
0.2,3,cluster,ESM-2 650M frozen + 1-NN,0.6288305620447987,0.5568295810029605,7755
0.2,3,cluster,Alignment top-hit transfer (MMseqs2),0.567678988594201,0.4819796305435341,7755
0.2,4,cluster,ESM-2 650M frozen + 1-NN,0.6367965910515102,0.5742713799084441,7755
0.2,4,cluster,Alignment top-hit transfer (MMseqs2),0.5525755107156285,0.4676874810629214,7755
0.2,5,cluster,ESM-2 650M frozen + 1-NN,0.6153846153846154,0.5674046804925537,7755
0.2,5,cluster,Alignment top-hit transfer (MMseqs2),0.502192108409725,0.42105954131560813,7755
0.2,6,cluster,ESM-2 650M frozen + 1-NN,0.5984770830282619,0.5341718545626291,7755
0.2,6,cluster,Alignment top-hit transfer (MMseqs2),0.5311172938936887,0.42281899889456664,7755
0.2,7,cluster,ESM-2 650M frozen + 1-NN,0.6059502887270901,0.5540998411507732,7755
0.2,7,cluster,Alignment top-hit transfer (MMseqs2),0.5493346723575194,0.4388920939400668,7755
0.2,8,cluster,ESM-2 650M frozen + 1-NN,0.6251175917215428,0.5605744153335532,7755
0.2,8,cluster,Alignment top-hit transfer (MMseqs2),0.5624412041392286,0.46377404630916474,7755
0.2,9,cluster,ESM-2 650M frozen + 1-NN,0.6021730593009557,0.5512212333852573,7755
0.2,9,cluster,Alignment top-hit transfer (MMseqs2),0.547584762403456,0.4738007126133027,7755
