threshold,seed,split,model,acc,macro_f1,n_clusters
0.5,0,cluster,Linear SVM,0.49365888348939196,0.3723262275013551,15272
0.5,0,cluster,ESM-2 650M frozen + linear probe,0.7738532653786891,0.6821203517903478,15272
0.5,1,cluster,1-NN (memorisation probe),0.5905391058157367,0.5005973455734216,15272
0.5,1,cluster,Logistic Regression,0.47493216939955174,0.31874908554761283,15272
0.5,1,cluster,Linear SVM,0.4641972395894774,0.34002815812986686,15272
0.5,1,cluster,ESM-2 650M frozen + linear probe,0.7562817034328182,0.6813592087023495,15272
0.5,2,cluster,1-NN (memorisation probe),0.5527251864601262,0.4753115743725632,15272
0.5,2,cluster,Logistic Regression,0.4612736660929432,0.30826814096995875,15272
0.5,2,cluster,Linear SVM,0.46115892139988524,0.35367248903663145,15272
0.5,2,cluster,ESM-2 650M frozen + linear probe,0.755249569707401,0.6708024846300706,15272
0.5,3,cluster,1-NN (memorisation probe),0.5173634754187661,0.4356912561217359,15272
0.5,3,cluster,Logistic Regression,0.39234645240364974,0.2568668629911381,15272
0.5,3,cluster,Linear SVM,0.37042080893367835,0.27810170866107464,15272
0.5,3,cluster,ESM-2 650M frozen + linear probe,0.7313087294021517,0.6672660154422021,15272
0.5,4,cluster,1-NN (memorisation probe),0.549048678033111,0.4621462560162766,15272
0.5,4,cluster,Logistic Regression,0.46454163577958985,0.3249264163603896,15272
0.5,4,cluster,Linear SVM,0.4503335804299481,0.3440800899169192,15272
0.5,4,cluster,ESM-2 650M frozen + linear probe,0.7415369409439091,0.652567550013452,15272
0.5,5,cluster,1-NN (memorisation probe),0.562994598668509,0.48107230326496503,15272
0.5,5,cluster,Logistic Regression,0.46903655319683457,0.2921483661902039,15272
0.5,5,cluster,Linear SVM,0.4434116317045597,0.3211386099028056,15272
0.5,5,cluster,ESM-2 650M frozen + linear probe,0.7466398693631453,0.6749953582385755,15272
0.5,6,cluster,1-NN (memorisation probe),0.5726002079242232,0.48526245020821107,15272
0.5,6,cluster,Logistic Regression,0.47048631165530785,0.31113388256667973,15272
0.5,6,cluster,Linear SVM,0.47406722883215896,0.3530086067675301,15272
0.5,6,cluster,ESM-2 650M frozen + linear probe,0.7506064456509184,0.6714008587362924,15272
0.5,7,cluster,1-NN (memorisation probe),0.541237768458508,0.46177922491917583,15272
0.5,7,cluster,Logistic Regression,0.4287711272080315,0.2723225004238222,15272
0.5,7,cluster,Linear SVM,0.4027195323421019,0.304328345267161,15272
0.5,7,cluster,ESM-2 650M frozen + linear probe,0.7258863896301945,0.6575010618866731,15272
0.5,8,cluster,1-NN (memorisation probe),0.5605736570637816,0.48485798318217554,15272
0.5,8,cluster,Logistic Regression,0.44798087809787396,0.2872742047840414,15272
0.5,8,cluster,Linear SVM,0.420681846773179,0.3140234681858545,15272
0.5,8,cluster,ESM-2 650M frozen + linear probe,0.723990439048937,0.6655988702309993,15272
0.5,9,cluster,1-NN (memorisation probe),0.5726950354609929,0.4865834566225143,15272
0.5,9,cluster,Logistic Regression,0.4712512664640324,0.313224568774274,15272
0.5,9,cluster,Linear SVM,0.457193515704154,0.3502147689647103,15272
0.5,9,cluster,ESM-2 650M frozen + linear probe,0.7591185410334347,0.6903739271888545,15272
0.4,0,cluster,1-NN (memorisation probe),0.4229779937124893,0.3404914013570316,12735
0.4,0,cluster,Logistic Regression,0.3961131751929123,0.2547267278792662,12735
0.4,0,cluster,Linear SVM,0.3731066018862532,0.27786352418252125,12735
0.4,0,cluster,ESM-2 650M frozen + linear probe,0.6976278936839097,0.630998137592318,12735
0.4,1,cluster,1-NN (memorisation probe),0.4240930350145367,0.3738782060947532,12735
0.4,1,cluster,Logistic Regression,0.40096068765010745,0.25533911297325695,12735
0.4,1,cluster,Linear SVM,0.3760586525091645,0.2701654883899775,12735
0.4,1,cluster,ESM-2 650M frozen + linear probe,0.7369485526482114,0.6641304178108383,12735
0.4,2,cluster,1-NN (memorisation probe),0.413307240704501,0.3368566169718809,12735
0.4,2,cluster,Logistic Regression,0.3972602739726027,0.24425342229115915,12735
0.4,2,cluster,Linear SVM,0.3750815394651011,0.28086891818391707,12735
0.4,2,cluster,ESM-2 650M frozen + linear probe,0.6848010437051533,0.5995891164561933,12735
0.4,3,cluster,1-NN (memorisation probe),0.473899446716382,0.35867383396539476,12735
0.4,3,cluster,Logistic Regression,0.46993023815251384,0.2837709866185508,12735
0.4,3,cluster,Linear SVM,0.4423863363002165,0.29701672254136857,12735
0.4,3,cluster,ESM-2 650M frozen + linear probe,0.7410392109694491,0.6324188699158085,12735
0.4,4,cluster,1-NN (memorisation probe),0.4088197146562905,0.3580986585587224,12735
0.4,4,cluster,Logistic Regression,0.403242542153048,0.27295728625783333,12735
0.4,4,cluster,Linear SVM,0.369390402075227,0.2964189740380102,12735
0.4,4,cluster,ESM-2 650M frozen + linear probe,0.6939040207522698,0.6264493220309235,12735
0.4,5,cluster,1-NN (memorisation probe),0.4976785042037897,0.3859496581308974,12735
0.4,5,cluster,Logistic Regression,0.4818672355377086,0.3013845883894025,12735
0.4,5,cluster,Linear SVM,0.4600326264274062,0.3133884310796392,12735
0.4,5,cluster,ESM-2 650M frozen + linear probe,0.7465177563056845,0.6536317035849806,12735
0.4,6,cluster,1-NN (memorisation probe),0.4034233048057933,0.35346784020413624,12735
0.4,6,cluster,Logistic Regression,0.3421988150098749,0.21074712998386289,12735
0.4,6,cluster,Linear SVM,0.34443712969058593,0.26448175158595044,12735
0.4,6,cluster,ESM-2 650M frozen + linear probe,0.7038841342988809,0.6299681204144281,12735
0.4,7,cluster,1-NN (memorisation probe),0.4951765080038164,0.36254313039110325,12735
0.4,7,cluster,Logistic Regression,0.4823491996183611,0.2779259312754354,12735
0.4,7,cluster,Linear SVM,0.4242552740379519,0.2805287560803736,12735
0.4,7,cluster,ESM-2 650M frozen + linear probe,0.7364571186260999,0.6265999495071052,12735
0.4,8,cluster,1-NN (memorisation probe),0.4881733746130031,0.39173169582062745,12735
0.4,8,cluster,Logistic Regression,0.46241486068111454,0.30642688814895475,12735
