seed,split,cls,n_test
7,random,OXIDOREDUCTASE,1286
7,random,SIGNALING PROTEIN,384
7,random,TRANSCRIPTION,397
7,random,TRANSFERASE,1581
7,random,TRANSPORT PROTEIN,369
7,random,VIRAL PROTEIN,298
7,cluster,HYDROLASE,2235
7,cluster,IMMUNE SYSTEM,2863
7,cluster,ISOMERASE,275
7,cluster,LYASE,526
7,cluster,OXIDOREDUCTASE,1332
7,cluster,SIGNALING PROTEIN,383
7,cluster,TRANSCRIPTION,437
7,cluster,TRANSFERASE,1324
7,cluster,TRANSPORT PROTEIN,400
7,cluster,VIRAL PROTEIN,244
7,cluster_stratified,HYDROLASE,2029
7,cluster_stratified,IMMUNE SYSTEM,488
7,cluster_stratified,ISOMERASE,381
7,cluster_stratified,LYASE,432
7,cluster_stratified,OXIDOREDUCTASE,1222
7,cluster_stratified,SIGNALING PROTEIN,336
7,cluster_stratified,TRANSCRIPTION,387
7,cluster_stratified,TRANSFERASE,1363
7,cluster_stratified,TRANSPORT PROTEIN,394
7,cluster_stratified,VIRAL PROTEIN,300
8,random,HYDROLASE,2130
8,random,IMMUNE SYSTEM,836
8,random,ISOMERASE,296
8,random,LYASE,466
8,random,OXIDOREDUCTASE,1286
8,random,SIGNALING PROTEIN,384
8,random,TRANSCRIPTION,397
8,random,TRANSFERASE,1581
8,random,TRANSPORT PROTEIN,369
8,random,VIRAL PROTEIN,298
8,cluster,HYDROLASE,2025
8,cluster,IMMUNE SYSTEM,2007
8,cluster,ISOMERASE,264
8,cluster,LYASE,374
8,cluster,OXIDOREDUCTASE,1482
8,cluster,SIGNALING PROTEIN,382
8,cluster,TRANSCRIPTION,466
8,cluster,TRANSFERASE,2118
8,cluster,TRANSPORT PROTEIN,355
8,cluster,VIRAL PROTEIN,467
8,cluster_stratified,HYDROLASE,1819
8,cluster_stratified,IMMUNE SYSTEM,1916
8,cluster_stratified,ISOMERASE,306
8,cluster_stratified,LYASE,571
8,cluster_stratified,OXIDOREDUCTASE,1234
8,cluster_stratified,SIGNALING PROTEIN,350
8,cluster_stratified,TRANSCRIPTION,373
8,cluster_stratified,TRANSFERASE,1240
8,cluster_stratified,TRANSPORT PROTEIN,348
8,cluster_stratified,VIRAL PROTEIN,259
9,random,HYDROLASE,2130
9,random,IMMUNE SYSTEM,836
9,random,ISOMERASE,296
9,random,LYASE,466
9,random,OXIDOREDUCTASE,1286
9,random,SIGNALING PROTEIN,384
9,random,TRANSCRIPTION,397
9,random,TRANSFERASE,1581
9,random,TRANSPORT PROTEIN,369
9,random,VIRAL PROTEIN,298
9,cluster,HYDROLASE,2250
9,cluster,IMMUNE SYSTEM,509
9,cluster,ISOMERASE,398
9,cluster,LYASE,508
9,cluster,OXIDOREDUCTASE,1145
9,cluster,SIGNALING PROTEIN,315
9,cluster,TRANSCRIPTION,356
9,cluster,TRANSFERASE,1841
9,cluster,TRANSPORT PROTEIN,316
